DATE|IMSI|DOMAIN|WEIGHTING
FEBRUARY 2016|123456700000000|newscientist.com|83
FEBRUARY 2016|123456700000000|newyorktimes.com|1
FEBRUARY 2016|123456700000000|youtube.com|34
FEBRUARY 2016|123456700000000|golf.skysports.com|55
FEBRUARY 2016|123456700000000|citibank.com|0
FEBRUARY 2016|123456700000001|news.bbc.com|41
FEBRUARY 2016|123456700000001|twitter.com|0
FEBRUARY 2016|123456700000001|youtube.com|77
FEBRUARY 2016|123456700000001|newyorktimes.com|8
FEBRUARY 2016|123456700000001|easyodds.com|65
FEBRUARY 2016|123456700000002|golf.skysports.com|41
FEBRUARY 2016|123456700000002|time.com|12
FEBRUARY 2016|123456700000002|barnesandnoble.com|18
FEBRUARY 2016|123456700000002|facebook.com|35
FEBRUARY 2016|123456700000002|time.com|42
FEBRUARY 2016|123456700000003|barnesandnoble.com|35
FEBRUARY 2016|123456700000003|facebook.com|84
FEBRUARY 2016|123456700000003|barnesandnoble.com|12
FEBRUARY 2016|123456700000003|citibank.com|38
FEBRUARY 2016|123456700000003|barnesandnoble.com|83
FEBRUARY 2016|123456700000004|sport.cnn.com|10
FEBRUARY 2016|123456700000004|barnesandnoble.com|40
FEBRUARY 2016|123456700000004|facebook.com|49
FEBRUARY 2016|123456700000004|news.bbc.com|46
FEBRUARY 2016|123456700000004|golf.skysports.com|42
FEBRUARY 2016|123456700000005|youtube.com|53
FEBRUARY 2016|123456700000005|time.com|97
FEBRUARY 2016|123456700000005|facebook.com|78
FEBRUARY 2016|123456700000005|golf.skysports.com|39
FEBRUARY 2016|123456700000005|facebook.com|22
FEBRUARY 2016|123456700000006|citibank.com|40
FEBRUARY 2016|123456700000006|barnesandnoble.com|39
FEBRUARY 2016|123456700000006|news.bbc.com|74
FEBRUARY 2016|123456700000006|newscientist.com|92
FEBRUARY 2016|123456700000006|sport.cnn.com|99
FEBRUARY 2016|123456700000007|barnesandnoble.com|76
FEBRUARY 2016|123456700000007|sport.cnn.com|74
FEBRUARY 2016|123456700000007|twitter.com|80
FEBRUARY 2016|123456700000007|news.bbc.com|8
FEBRUARY 2016|123456700000007|facebook.com|39
FEBRUARY 2016|123456700000008|youtube.com|50
FEBRUARY 2016|123456700000008|citibank.com|91
FEBRUARY 2016|123456700000008|twitter.com|100
FEBRUARY 2016|123456700000008|news.bbc.com|22
FEBRUARY 2016|123456700000008|easyodds.com|44
FEBRUARY 2016|123456700000009|barnesandnoble.com|94
